Glimpse of Review,Review
Highly recommended,The Nokia tv is excellent as a package. Yes there are rooms of improvement in Brightness . Currently the brightness is set to 400 nits which be around 700 -800 level i guess . That will give us more vibrant pictures. Sound wise i do not have any complaints whatsoever. But regarding features like : dolby vision there should be more customisations to enable or disable dolby vision on our own . Currently dolby vision is controlled by the tv itself . Design wise this tv unit is brilliant oozing w...READ MORE
Worth every penny,Nice and awesome product..I just loved it. picture quality nice and sound by jbl was awesome..I did not face any problem from the product.Delivery and installation was mind blowing delivered within 2 days and same day installation also done.Just blindly go for the product. Thank you flipkart for the service you guys are providing.READ MORE
Simply awesome,First of all i will say that befor i buy electronics I do a lot of research.  This tv is a steal at this price and better than samsung and LG OF SIMILAR CONFIGURATION. INSTALLATION TEAM WAS VERY HELPFUL AND MADE EVERYTHING VERY EASY N SMOOTH. PICTURE AND SOUND IS BETTER THAN SAMSUNG SONY AND LG. ANDROID EXPERIENCE IS SMOOTH. NO LAG. SCREEN MIRRORING IS PIECE OF CAKE. MUST BUY TV. ITS BEEN ONLY A DAY. WILL POAT ANOTHER REVIEW AFTER 1 MONTH.READ MORE
Terrific,"Outstanding performance and unbelievable. Best product to by in budget. Very good installation, Demo, delivery service. Most lovable product. There is no waste of money. 👍👍👍👍READ MORE"
Really Nice,Superb quality experience sound is like theatre pvr pure Dolby digital surrounding connectivity is good but not fast mobile connection is some low experience overall good in this price...if you want in 55inch tv got it....READ MORE
Simply awesome,"I took time to come back and review this. This product is worth money. 5star in all category, nice picture quality, sound. Bluetooth and wifi connectivity is also upto the mark. I like the product.READ MORE"
Terrific,"Very Good product from Nokia. Very good Dolby Vision and Sound. Sound, I did not expect that much. No dosplay bleeding like in reviews.  No need to think about. Just buy it.  Very worthy and value for money.READ MORE"
Perfect product!,"Product is Great but Jeeves is horrible.They had no clue about the update that was required and had no patience to explain the product. Installation guy, lack empathy towards the owner's property, he scratched my TV unit like an idiot.FLIPKART/NOKIA - PLEASE MAKE A note of the installation TEAM. YOU MUST CHANGE OR ADD another INSTALLATION TEAM. They act as though they know everything, however, they had little knowledge and concern on customer service. They are not even advocates of the pr...READ MORE"
Excellent,Quality of the movies is good Delivery and installation was also very goodFeatures of the TV is easy to understandThe look and design of TV is very niceREAD MORE
Great product,"This is the first time ever I am writing a review on a product. This product has impressed me a lot. 4kUHD Dolby vision is an ultimate theatre experience. Sound by JBL is just like icing on cake.. You dont need a hometheatre.. Sound is so loud, clear and crisp. Delivery, installation and setup everything was cake walk.. I opted for rotational wall mount and that adds more charm to my tv. Thank you flipkart nd Nokia for this amazing product..READ MORE"
Wonderful,"Thank you Flipkart for amazing super fast delivery the best tv for the price range with one of the industry leading audio technology had a pleasant shopping experience, Flipkart seriously you have the best customer care executives Thanks to them for responding and resolving all issues within seconds.READ MORE"
Good,Initially i received Tv with some defect..but it was really good and picture quality was awesome for 2 months..then some issue started and Got replaced yestrday.. But this TV clarity is not upto the mark.. 1st TV clarity was really good compared to replaced one..READ MORE
Must buy!,NOKIA TV is awesome.. Do believe in Nokia quality that's what matters.  With JBL perfect sound effects. it is fantastic TV worthy with low price..READ MORE
Mind-blowing purchase,"I ordered NOKIA TV for my new home. Delivery and installation of the same by Flipkart is commendable. The TV contains awesome picture quality and great sound experience.  Material used in the TV is also of top notch quality. NOKIA keeps its name as earlier by caring for everything like material, technology, even remote and it's batteries (Duracell). Overall it's a great and value for money product.  I will post it usage review after six months from today (17 Jan 2020).READ MORE"
Highly recommended,"it's Best in it's range and the best thing is it's JBL sound system, u can't maximise it as it's much clear n louder in 15/100 . Make sure u having HD setupbox , than only u can enjoy at fullest. rest You tube, Netflix, etc u name it all looks like 4k picture. don't search other tv if ur range is 41k. just go for it, u won't regretREAD MORE"
Best in the market!,awesome product and sound with JBL thank you Flipkart best product in price one day  installation thank you for FlipkartREAD MORE
Just wow!,"Only one word for Nokia 55 inch smart TV. ""very excellent"". Sound quality, picture quality very excellent.  Thanks to flipkart for providing excellent quality smart TV with excellent service each and every time from flipkart.READ MORE"
Terrific,"Picture ,Sound quality are far far better than many good popular brands of LED TVs.At this price of 42K ,a 55"" TV Android, is the Best in Indian Market. One can blindly buy this 55"" instead of getting a 5 K cheaper but a bad product.READ MORE"
Excellent,"Awesome, Excellent and worthy product form Nokia by flipkart.Picture clarity, sound quality everything wonderful and excellent.   Prompt delivery and installation service by flipkart.Thank you flipkart and team.READ MORE"
Must buy!,good tv with all packed features .....value for money ....and sound is awesome with jbl speakers. at present with this price range and offer this is one of the best Android TV ....I have been using since 1 month I have no problem ....well satisfied .....as expected ty for the better price with full pack featured tv .Netflix lovers will love this tvREAD MORE
Perfect product!,first time from crt to led... a jewel to watch for me... value for money... my family is happy so 5*... Thankyou #Flipkart & #Nokia... Hope for good support from #Jeeves if needed...READ MORE
Just wow!,"Very Nice TV. we can enjoy full HD, really amazing experience. sound is also too good.one thing is very good that Flipkart service is too fast. same day installation.READ MORE"
Excellent,"This TV is value for money.Before ordering was hesitant about the product as Nokia never had there presence in Television market but the product proves there qualityThe third party who provides installation also provided very good serviceI wanted to mount the TV so that it is movable, as i needed to place it in corner. The mount that is provided with TV is fixed one so i informed installation team on prior notice and they brought the moveable TV mount costing 1600Rs which is of good qualit...READ MORE"
Super!,it's awesome product. very good picture quality. sound is the main attraction. connectivity is little bit need improvement! it's worth value for money.please don't keep other thoughts in your mind. blindly go ahead. above review is based and after 2 weeks useses.!!!READ MORE
Perfect product!,"I think Nokia TV is value for money. Panel is good but not great. Dark pictures and videos are ok but miss clarity. Bright picture, videos and 4K videos are great. Color gamut is excellent. JBL sound is excellent. But for this price it is justified and I am very happy with purchase. If your budget is less than 50K then it's the best TV. If budget is more than 50K then One plus TV is simply the choice by no doubt.READ MORE"
Worth every penny,"Brilliant Tv, hd content looks amazing. But while plating sd content its not good. you will need to take a hd cannel pakage. Sound effect is just best what you get with deep bass and excellent clarity in sound. looks very premium with very thin bazzel. Over all great produt to watch Hd movies and cricket.Go for it without thinking caz you not gonna get such sound in any tv in this budget. JBL nailed it.READ MORE"
Great product,"Pros. 4K clarity in this segment is just awsome. Sound quality with JBL have no word, its super clear. Good picture quality and handsome look. Cons. Only available in 55"". It should be available in 32"" & 43"" also.READ MORE"
Highly recommended,"awesome TV , worth every penny, picture quality awrsome sound is good, connecting fast easy to use remoteREAD MORE"
Brilliant,It is very good product in Nokia good video quality and sound quality value for money what we pay and Wi-Fi speed also to good best product in TV seriesREAD MORE
Highly recommended,good product worth buying it and  my parents were so happy with itand personally I have to thank jeeves customer executive pallavi for keeping her promise for tv installation and demoREAD MORE
Awesome,"Great product at a great price!Sound is probably the USP of this TV. Picture quality is nice as well. Interface works smooth and fluid.One minor issue I felt, there is no standby and TV takes considerable time to boot up every time when started.READ MORE"
Good quality product,The product is excellent.Sound quality is very good.55 inch at this price is a very good deal.My kid loves the picture quality.Overall it's an excellent Product.READ MORE
Brilliant,fantastic product.... Excellent Sound (JBL).. Happy to have this product...  I strongly recommended interested person to buy...READ MORE
Value-for-money,"very satisfied with this productawesome sound quality,image r too good n all features like Chromecast, YouTube ,and all r very goodREAD MORE"
Must buy!,"I do suggest to all of you guys ...if you want to have good picture quality, good sound,  and  All thegood and latest  features  ....and then its price rate is also affordable  ...we just loved😍 it ....Thnks to NOKIA and Flipkart services☺READ MORE"
Fabulous!,Awesome picture Nd sound quality really great I love this smart tv Thanku Nokia u r backREAD MORE
Highly recommended,wow just wow fantastic TV at the great priceREAD MORE
Wonderful,"This LED TV is just awesome and every penny is worth it. JBL sound is just amazing, Flipkart delivery was instant and installation too.READ MORE"
Classy product,Lovely Product...High quality superb resolution... JBL sound is just awesome .. highly recommended ?READ MORE
Perfect product!,Top Quality TV for the price. Nokia is a will known brand and they live upto the name. The build quality and looks are top notch.The picture quality is 4K and the colours and contrast are perfect.The sound bar by JBL is awesome with 24W output is perfect for a hall of about 200sqft.Nokia TV is a awesome but in the price and totally worth the value of money.below listed are the PROS and CONSPROSTop quality build. Looks premiumAwesome looks and pictureExcellent soundSupports all requir...READ MORE
Absolute rubbish!,"The are  multiple issues with theTV.1. Display Bleeding2. Audio Video Sync issues on all the apps.3. Whenever you press any button on remote, the video on all apps gets forwarded by 5 secs.1. No solution available with Nokia. For software issues they are replacing motherboard in just 2nd month. They even updated the software(just an eyewash).2. The are not accepting display bleeding issues.This TV is not manufactured by Nokia, its a pure Chinese TV with just brand labelling by Nokia...READ MORE"
Hated it!,"Please do not buy this product especially from Flipkart both are cheating people, if any problems comes no body will respond , they will blame each other and there service guy is contractor he talks like higher official  and none of them take responsibility and answer for our enquiry . Please don't ever buy this product online and suffer like me.READ MORE"
Perfect product!,Trio by Different brandsAmazing product by Nokia (Sound by JBL) warranty by FlipkartThe product delivered and installed on time.. Thanks Flipkart!picture  quality and sound is awesomeREAD MORE
Mind-blowing purchase,Awesome TV 📺READ MORE
Wonderful,"excellent picture quality and sound, looks premium, only thing is if you want better output you should have HD channels or watch programs in hd or 4k. sound is amazing.READ MORE"
Worth every penny,Got it today. Was delivered within 24 hrs and installed within 48 hrs.Excellent service by Flipkart.Specifications of the product supplied fully matches the specifications as listed by Flipkart.Excellent product and services.5 Star RatingWg Cdr A J Prakash Kumar from Chennai.READ MORE
Worth every penny,Jus got it installed...it's awesome...READ MORE
Great product,no words at this rate its ausm.😍😍😍🥰🥰🥰❤️❤️👍🏻👍🏻👍🏻 thanks Nokia and Flipkart.😊😊😊READ MORE
Fabulous!,The best tv you can ever ask for. The sound is mind blowing and not just loud. The picture quality is very good.READ MORE
Wonderful,"One Request to Nokia Please Make your 43"" , 50"" inch TV OverAll Tv is Awesome.READ MORE"
Excellent,"superbbbb,  excellent tv .value for moneyREAD MORE"
Mind-blowing purchase,Amazing experience.. Superb Nokia.. Just go for it.. Budget king in this segment..offers almost everything. Highlight is inbuilt JBL soundbar.. Thank you Nokia+Flipkart +JBL.READ MORE
Terrific purchase,Stunning quality!!✌️READ MORE
Perfect product!,picture quality and sound clarity was good. it is really worth buying at 40999 with three years warrantyREAD MORE
Super!,Superb Sound Awesome picture qualityGood performanceRecommended to Buy Nokia.READ MORE
Useless product,Full of white Patches on display screen don’t buy this tv . It’s not NOKIA TV it’s SKYWORTH TV. Who are giving positive reviews check once black screen bleeding test while checking switch off all lights better check night times only . Check all speakers some are not working . While watching tv put in mute button see buzz sounds comes final word is want to buy TV SONY OR SAMSUNG OR LG. Other than brands 🙏🏼READ MORE
Did not meet expectations,My television has photo bleeding problem.There are white patches on the screen when the tv is turned on.READ MORE
Super!,good product but very poor installationREAD MORE
Not recommended at all,"Don't buy this tv.... I had purchase this tv 3 weeks ago after using this tv my opinion... Cons: 1 Aptoide tv, Es file explorer, Shareit, Xender, Opera etc are not supported this tv.....2 Display Blending problem....READ MORE"
Hated it!,I m facing problem of noise on switch on/off...And also backlight bleeding issue...READ MORE
Nice,"TV is good, yes there are screen bleeding issues.. but as I noticed on my product.. u can identify them only if you test it in a complete dark environment.yes but one or two edge bleed are visible in normal usage.. but they dont hi der the viewing experience specially when a video is played in full screen mode.still I have asked for replacement, will update the review after the new product is received and installed.Sound.its amazing.picture qualityit is also very nice if we leave the s...READ MORE"
Terrific,ordered this product on first sale without knowing the qulality and output of the product as im big fan of NOKIA brand.it didnt break my trust.the video and audio quality is just awesome.guys in this budjet section blindly we can go for this product.my trust stands?READ MORE
Nice,Screen bleeding issueVideo skips by few seconds when volume is adjustedChrome browser not availableCan see screen LEDs at the bottom edgeREAD MORE
Awesome,Great TV..Value For MoneyThin Bazels.. Picture Quality Is Good..Sound Is By JBL so There Is No Complaint About It..Connectivity Is Also GoodThe Only Thing Is It Is Pure Android TV So You Will Only Get Limited Functionality & Limited Apps But Comes With Google Play Store So TV Supported App can Be Downloaded Laterly...READ MORE
Mind-blowing purchase,one of the best in the price range. JBL+Nokia is a deadly combination. build quality is awesome.READ MORE
Worst experience ever!,bad quality and pathetic service response from jeeves and Flipkart.READ MORE
Expected a better product,1) Fails the screen bleed test. 2) Clear lag between audio and video 3) Remote - volume buttons forward the video by 3-4 secsREAD MORE
Highly recommended,"At par with all the big names in the market! Speakers surpass the expectations, Remote is a delight to use, Picture quality is one of the best that you wish for. Delivery and installation was totally hassle free... both got done on same day and within 48 hours of buying it in Sale.READ MORE"
Best in the market!,Worth buying it good picture quality and sound quality on time delivery and installation by flipkart and installation is done properly by jeeves technician  Mr. Pravesh rizwiREAD MORE
Awesome,excellent tv .value for money .it is phenomenal.READ MORE
Very poor,"before Samsung, Sony, Lg  televisions using people don't buy this tv. because cannot compare this brands and nokia tv very bad picture quality only good soundREAD MORE"
Awesome,TV is just awesome 👌..sound is and picture quality top-notchREAD MORE
Unsatisfactory,Editing my review after using this Tv for 6 months. Worst Display Panel!Don’t waste your money hereREAD MORE
Not recommended at all,"tv display has bleeding problems. I have got my tv replaced. however, still some white patches are visible. Bottom edge of my tv i.e silver lining over JBL speaker and display are not pasted together, you can see a visible space . build quality is very poor. don't go by the YouTube reviews guys..after sales service is very poor  neither flipkart nor Nokia have any idea about the tv.READ MORE"
Unsatisfactory,"worst mistake made by buying the tv , it is cheap Chinese tv where nokia branding is done by flipkart to cheat customers, screen bleading issue with full of lag, and flipkart is trying reset and software installation for a hardware issue, drastic decision i have made by trusting on FlipkartREAD MORE"
Mind-blowing purchase,don't buy this tv it has screen bleeding netflix doesn't plays hdr 10 and dolby vision content on netflix app and only has 2.4 ghz wifi support on netflix it shows error tvq-pm-100(5.2.5) contacted netflix they say it is hardware problem when any app is playing video for sometime and press button on remote it drops 20-30 frames after pressing the button be it increasing volume or changing video so streaming is laggy need replacement for the tv i even bought extended warranty for this tv sony ...READ MORE
Awesome,HIGH QUALITY DISPLAY.LOW BUDGET HIGH PROFILE PRODUCT.HAPPY TO SEE NOKIA BRAND NAME IN BIG SMART SCREEN.READ MORE
Horrible TV (Not worthy Buying),"The Hardware is good, but the software is very very bad, we are unable to play any 4k Videos in YouTube stuck with the error. Customer service executive called me and asked me to change the rating, it is worth experience ever i have faced.READ MORE"
Unsatisfactory,"Tv stopped working in 10 days , it’s not switching on , there were white patches at the screen also , really disappointed with Flipkart and Nokia , please don’t buy this and waste your valuable moneyREAD MORE"
Unsatisfactory,Display bleeding. Please avoid.READ MORE
Worthless,"Worst build quality, there is gap between TV Frame and screen.. go for sony or samsung or LGREAD MORE"
Wonderful,picture quality supersound quality super duperpacking and delivery supertotally value for moneythank you Flipkart and NokiaREAD MORE
Highly recommended,my daughter is very happy . nice quality and sound. go for itREAD MORE
Awesome,"Fabulous product... top class sound... every thing is good about this product... packing, delivery, installation and performance... very nice.👍👍👌👌READ MORE"
Simply awesome,Good niceREAD MORE
Best in the market!,Best product with best sound quality.READ MORE
Terrible product,After usage of 6months I m writing this. We have purchased two Nokia TV's. Both are not working properly. One TV Remote is not working. The other TV mother board is not working since last 2months. We have been giving complaints to customer care but still our problems not solved with this worst Nokia TV's. The customer service of Nokia and Flipkart is not up to the mark. By looking Nokia Brand we purchased two TV's . But we are completely disppointed with this purchase. I recommend that don't ...READ MORE
Perfect product!,This is the best tv ever don't go for the negative reviews just buy and feel the tv performanceREAD MORE
Great product,I have back light bleeding problem. otherwise everything is okay.. all black areas are showing white patches .. got it replaced .. now it is awesome.. sound is fantasticREAD MORE
Super!,goodREAD MORE
Worst experience ever!,"Very disappointed with this product. I advice not to purchase this television. Bleeding issue , TV is not getting switched on very first day You have to manually switch on the tv from the switch behind. Very pathetic response from the customer service.Don't waste your hard earned money.READ MORE"
Horrible,"TV getting switched Off while running, and some times TV getting struck remote and Tv buttons wont work and we need to power Off the TV switch .Customer care not good, dont buy.. go for branded one..READ MORE"
Delightful,1 star  less for late delivery. superb tv quality 5/5   sound 5/5. Happy  with the product.READ MORE
Brilliant,Value for money.READ MORE
WORTH MORE THAN I PAID,"WORTH MORE THAN I PAID, BEYOND MY EXPECTATIONS ......  :-)READ MORE"
Simply awesome,"excellent TV ,really pure design and pure performance.....JBL..speakers.....AAAWWWWWWWSOMEREAD MORE"
Bad quality,"Using my tv after 30 days ... one big issue it is not supporting more than 1080p videos... I think it doesn’t support 4K videos too..It has almost all of the features except ARC which is very crucial these days. I wish it could be added with some software update. At this point of time optical fibre and Bluetooth are backing up the shortage of ARC. There are lots of white patches on dark screen, Picture quality and sound quality is really good. If you have good budget, go for well established ...READ MORE"
Worthless,Nokia TV display problem... please don't buy Nokia TV.... no response customer careREAD MORE
Highly recommended,happy with my decision..best deal..only two issues for me1) picture freezing when you increase or decrease the volume..video gets stuck due to this sometimes..same for menu buttton while playing video on prime video to be very specific and sound output via ARC to DVD2) i feel the user picture setting not applicable for home screen..it always throws full brightness when you go to home screen..READ MORE
Best in the market!,"Nokia is Nokia, always connecting people.Best TV in this segment and excellent services by both Flipkart and Jeeves. Bought this in first ever flash sale and I am not regretting my decision.Everything is good about this.READ MORE"
Wonderful,Excellent quality and reasonable priceREAD MORE
Does the job,"Please don't buy it....NOKIA is not the same with respect to quality and performance. Very disappointed with Nokia TV. No one picks the phone at he Nokia customer care. My Tv stopped working within 24 hrs of the installation. Very poor after sales service from Flipkart, the technician sent 'ok status' report without coming and checking the tv..... Lodged a complaint again today but still no one has come to check it. my suggestion is think twice before you buy it. May have to return the tv if ...READ MORE"
Excellent,"great product from Flipkart, Nokia and JBLREAD MORE"
Absolute rubbish!,"You're company use to technician physically handcrafted person on education, no human values Demo time employee talking busy busy busy stupidity,Nokia to Flipkart Flipkart to jeevas Jeevas to providerProvider to local technical Local technical to on training technician Final suffered customerREAD MORE"
Don't waste your money,Don't buy this product anybody... bcoz service related very worst and flikart also not support properly..READ MORE
Expected a better product. Poor Display Great Sound!,"All I could like and appreciate about this TV is its sound quality, which is the best in class. I would it was awesome - credit goes to JBL.The picture quality was also good but I couldn't ignore the screen bleeding issue on my units (also on the replacement unit). After 2 weeks of overhead, now I have received uninstallation scheduled notification (2nd time). I do not recommend this TV because of the display issue. You can buy it if you can ignore the display bleeding issue (only) at boot t...READ MORE"
Did not meet expectations,Have white bleeding and tv gets restarted on its own. Felt really bad about buying this tv.READ MORE
Classy product,1. Picture quality is damn good.. 2. JBL speakers gives its best output... 3. Connectivity is fast... All the apps are working fine and you can connect any Bluetooth device you want... Overall the performance is so good.READ MORE
Super!,Awesome tv.READ MORE
Perfect product!,"Overall: True value for money.  Go for it.Pros:Great Picture clarity Excellent sound from JBLBuild is good.Connectivity is good.Cons:When we change menu options using remote, it skips some frames. Hope it gets fixed in next update. Also there are no 5Ghz band option available. It's hard to use the ports available on the back of the TV if we wall mount it.READ MORE"
Awesome,"Just installed , simply I can say it is completely worthful in this ammount. In every angle it is looking smartREAD MORE"
Terrific,Awesome Product.READ MORE
Worth the money,number one quality and song value money best quality and soundREAD MORE
Not recommended at all,"Backlight bleeding issue.Inbuilt software has lot of bugs. The update was failing continuously. The jeeves guy called the customer care, he advised to open the TV, to solve a software issue. There is just branding of NOKIA, but the TV is made by some cheap chinese company.READ MORE"
Just okay,"This is just a rebranded version of a Skyworth TV, there is no trace or any kind of existence of Nokia brand in the TV screen, even Dolby vision-audio toggling is also not there. According to the debugging data, it doesn't even support HLG or HDR10 content. HDMI 2.0 support is very poor, unable to handle contents at 4k60fps. I opted for replacement, after replacement I faced the similar kind of issues so I decided to go for refund and the Jeeves technician who came to install the replaced one...READ MORE"
Slightly disappointed,"There is a gap between display and sound bar, poor workmanship... cheap build quality. Picture and sound quality is amazing. delivery  and installation done same day.READ MORE"
Bad quality,screen bleeding issue. its very visible when try to watch it without lights.READ MORE
Must buy!,"Amazing product, thanks to Nokia JBL and Flipkart I was planning to buy Mi Tv, good it took me time take decision on Mi tv and end up buying this Tv. Picture sound everything is fabulous.READ MORE"
Just wow!,i really happy to buy this in this amount finally i waited so long for a budget TV with big screen and its totally worth itREAD MORE
Brilliant,"very good tv in budget against MI , Uv and otherREAD MORE"
Terrific,Awesome excellentREAD MORE
Great product,Nice Experience ...Value for Money 🤘READ MORE
Wonderful,Many issues Slow wifi connectivity only 2.4 Ghz.Audio Video syncing problem while increase or decrease Volume.Remote quality is not at all good it's a  slow Remote.Sound by JBL is outstanding.Please go for a good Brand TV this is wastage of Money.READ MORE
Waste of money!,"Wifi need to switched off and on, every time when we start the Nokia TV.Another side, It took 1:45 minute to start the TvNot Recommended this ProductI am using the MI TV also in my another room, but never face such which is arising in Nokia TVREAD MORE"
Just wow!,Do not think much and just go for this product. I am using it from 8 days and it is working very good without any issue.READ MORE
Worth every penny,Nice productREAD MORE
Very poor,Display defect and can't be return don't purchase through flipkart does not provide good facilityREAD MORE
Good choice,"Picture and sound quality is very good. Screen bleeding issue is there which Nokia needs to give more attention. There is lag in every content while mirroring mobile with TV which is very disappointing. Also major ports are on back panel instead of side panel which makes difficult for connecting wire, so you need buy movable joint support (for wall mounting) worth of 1500rs from the installation guy who comes at your home during demo. P.S. Average product comparing with other good brand TV.READ MORE"
Horrible,"I had  a huge expecions because of the nokia brand, Once the order is delivered totally disappointed. I faced below issues,1) white patches on dark screen2)Tv is getting off when sound is high3)Bad service( white patches on the screen is not normal)How can we experience the horror movie if white patches are there..  I hope in future they change the display quality.READ MORE"
Worst TV! Lines and spots appearing in 48 hours!,"1. Thick lines started appearing on TV within 48 hours of installation and less than 2 hours of use. Very disappointed with this. I can't afford to buy another and replacement/warranty visits during COVID-19 in Mumbai can be risky. Will never order again.2. Less than two months of use, the TV screen is starting to show SPOTS on it. This is despicable and a complete breach of trust. Please do not buy this pathetic excuse of a TV! I feel cheated!READ MORE"
Worst experience ever!,"Auto powers down within 30-60 sec after you turnon,READ MORE"
Does the job,"This is my initial review of the product after 1 whole day of usage.ProsPicture clarity is just awesomeSound is greatEnough connectivity optionsGreat budget 4K tvQuick delivery and same day installation.ConsWhite colour patches on screen at 1-2 places.Sound tends to be overwhelming some times.Black spot appeared on the screen after 1 year.In all, I like this tv for budget option. If you have a budget of around 60-65K, go for LG, Samsung or Sony instead.READ MORE"
Good quality product,Remote is not working since first day and it's bREAD MORE
Worthless,"Pathetic smart TV have seen so far, not worthy to buy at all... Waste of your money... Lag in sound.. picture quality also not good at all... Frequent powers off..DONT BUY FOR NOKIAREAD MORE"
Terrible product,Don't buy this product after 15days I saw screen bleeding issue on the edgesREAD MORE
Value-for-money,I have been using the TV for six months. The Tv is good but it has backlight bleeding issues in two upper corners. It may seem negligible while watching.READ MORE
Utterly Disappointed,"Update: Please don't waste your money, this is just a huge scam, once you buy it, there's next to nothing liability. There are showing spots on screen and as I went ahead to make a warranty claim, I have been denied the same just because ""it doesn't show up properly in Mobile video"" for Nokia centre.Very unprofessional approach.Even small companies provide much more better services than Nokia. Greatly disappointed.The build quality is adequate but not much attention has been paid to stru...READ MORE"
Not good,Issues.. I am using this TV since Dec'19Display Bleeding After getting latest system update TV is getting shut down automatic while watching VideosSome times Prime Video get stuckedREAD MORE
"Absolute rubbish!, Don't Buy","Complete Waste ProductI am writing this review after using the TV for 20 days.Pros1. Sound by JBLCons.1. Screen Bleeding2. TV will start giving problem when you turn on, picture will not come. Sometimes for 1 hour, sometimes for the whole day.3. No support from Flipkart and Nokia even if you report the problems with in the replacement period.My suggestion is don't buy the TV.READ MORE"
Slightly disappointed,White patches is appearing in my screenREAD MORE
Waste of money!,The TV got a dark transclusent strip on the bottom of the screen. I have filed a complaint with Nokia but they haven't responded.READ MORE
Absolute rubbish!,Nokia TV is perfect look wise. It is having simple and classic look. Thats the only pros. Within 6 months of usage I am getting lots of issues in my TV.Horrible Customer Care Service & Faulty Product.Dont waste your money in this product as they lack quality and no Customer care support.READ MORE
Hated it!,don't buy this TVREAD MORE
Could be way better,"installation after 3days screen top right white circle problem, otherwise sound is excellent, picture quality super. no solve my problemREAD MORE"
Expected a better product,sound and picture is laggingREAD MORE
Hated it!,recommended voltage stabilizer with model plsREAD MORE
Brilliant,best in marketREAD MORE
Great product,"Purchased Nokia 55"" Android TV from Flipkart and installation carried out on 22/12/2019.  The quality of the product is is excellent and more than expected. Picture quality and colour are great.  JBL Sound System is impressive.  Over all performance of the TV is excellent.READ MORE"
Wonderful,Best quality TV NokiaREAD MORE
Did not meet expectations,While video playing on youtube if i try to press volume for increase or decrease or navigation button (up or down) or any button on the remote then the sound lagging and video is forwarded few seconds). Screen bleeding on all the center and edges of panel. Quarter of the screen blacked out while pressing volume.I ordered replacement. They replaced after long struggle. But new replaced TV also having the same issue which mentioned above. I feel bad about such a below average product from No...READ MORE
Just wow!,Excellent Product. Excellent Service by Flipkart and Jeves. Very good sound. One suggestion Flipkart should provide flip stand with product so that user can be more satisfied.READ MORE
Fabulous!,Better from othersREAD MORE
Must buy!,superbb tv really nokia connecting people. JBL sound bar amazing outstanding  PICTURE quality excellent.READ MORE
Super!,I am really impressed by the quality of this tv. Such amazing features for a price like this.READ MORE
Pretty good,awesome product in this segment      .value for moneyREAD MORE
Waste of money!,I just purchased the TV on 11th December 2019 and now today on 14th January 2020 my TV isn't switching ON. Extremely unhappy on this incident. Have lodged complaint and hoping to get the same sorted immediately.Rajiv DhamiREAD MORE
Does the job,"Tv sending without screen checkup,screen bleeds from different sides of tv,usually seen whenever black back groundREAD MORE"
Best in the market!,"It's an excellent smart tvDisplay is good Sound clarity is awesome.those JBL soundbar is worth it At frst there was a bug when yu press any button while watching youtube or any other video...it's skips a few seconds.but after a update .it got fixedChromecast connectivity is good.sometimes it troubles me but it's good I can watch movies by connecting my mobile Everyone,s complaining about the backlight bleeding.but I didn't get any type of that issue.there is some black light bleeding iss...READ MORE"
Wonderful,"Reviewing after 2 months of usage. Picture :4.5/5, Sound-4.5/5( jbl speakers does the job pretty well), Navigation-4/5. Overall totally satisfied till now.READ MORE"
Must buy!,"superb 4k HDR 10 display, with in built 24 Watts JBL Speaker true value for moneyREAD MORE"
Worth every penny,"excellent product..happy with prompt delivery and installation..image quality, sound awesome..best product in the range.. thank you flipcart n Nokia..made new year with surprise..READ MORE"
Good,Video is good But Sound glitches if increase or decrease volume soundREAD MORE
Useless product,worst tv..only nokia branding rest everything is made in china..its equivalent to chinese mobile in comparison to Samsung mobile..and customer support is worst..bcoz they keep on denying  that there is no problem..all of the customers who are thinking to buy this tv kindly note that this TV has issue of bleeding colours..black is not black rather its greyREAD MORE
Excellent,Superb sound quality.. Experiencing theatre like sound effects.. Fantastic picture quality.. Everything exceptional.. Value for money.. Loving itREAD MORE
Highly recommended,The entire experience from Booking to Delivery & Installation was fantastic. The TV is really worth the price. All aspects look very promising. Some amount of backlight bleeding is noticed which needs to be corrected. Overall impression is Excellent.READ MORE
Excellent,awesome TV 👍👌👍👌👌💕💕 good quality ❣️😘🥰READ MORE
Good quality product,FLIPKART KITNI BAR DIL JEETEGA.!!!UPDATE: After 10 months of usage my tv screen stopped working and screen was blank & within 7 days of inspection & all; l got the same model NEW TV. Because part was not available ....AWSM EXPERIENCE!!!!!! (-1) star for TV's defective otherwise it's the BEST. Do buy itOld review:JUST BUY IT.....!!!!Everything's awesome with this T.V..sound picture size...!READ MORE
Awesome,"Excellent clarity and sound effect .this  nokia TV can not be compared with anyother brand, nokia always greatREAD MORE"
Good choice,"Was actually waiting for Motorola 55 Inch Tv, but the experience with Nokia is too good. the 4K quality is just amazing and the Sound is just awesome. Just the issue is there are not many apps in the playstoreREAD MORE"
Highly recommended,"Vu premium seems to have a better picture quality. Nokia is very close though with tons of other features.sound is too awesome. speakers are a game changerFlipkart and Jeeves provide excellent service.bt Jeeves tries to sell u a stabilizer once they come for installation as they say that if tv gets damaged due to fluctuation, it is void of warranty. so think abt buyin planREAD MORE"
Worst experience ever!,"on increasing /decreasing the sound volume, the 25% of the screen,  starting from right side, turns black. The brightness returns to normal after the volume increase/decrease symbol on the screen vanishes.READ MORE"
